TargetID,ProbeID,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,A1,SYMBOL,DEFINITION,GID
ILMN_155518,74,2003.6,3365.8,1645,3742.5,3390.9,1923.1,2864,2408.4,3467.9,2201.8,2824.6,2244.5,1704.6,4046.7,2064.2,3084.9,Dl,"Drosophila melanogaster Delta CG3619-RB, transcript variant B (Dl), mRNA.",24648165
ILMN_145459,75,717.4,968.4,514.7,1201.5,1018.7,503.1,1060.5,738.7,1307.7,441.7,961.9,857.6,562.4,1282.6,752,1049,lqf,"Drosophila melanogaster liquid facets CG8532-RC, transcript variant C (lqf), mRNA.",45551528
ILMN_152655,79,3677.4,4330.5,2691.2,5916.3,5101.1,2888.4,5026.9,3407.6,5629.5,2627.7,4032.2,4325.7,3539.2,4934.1,4208.6,4136.6,tkv,"Drosophila melanogaster thickveins CG14026-RD, transcript variant D (tkv), mRNA.",28574651
ILMN_153458,83,156,174.5,107.8,184,173.1,71.7,180,115.2,273,103.4,126.8,160.1,120.6,135.3,166.9,109.5,Mad,"Drosophila melanogaster Mothers against dpp CG12399-RA (Mad), mRNA.",19549582
ILMN_146262,87,1479.6,1867.4,1206.4,2272.3,2074.5,1184.6,2383.9,1489.3,2640.8,1090.8,2143.3,1957.7,1409.5,2691.9,1593,1609.9,gro,"Drosophila melanogaster groucho CG8384-RE, transcript variant E (gro), mRNA.",45553550
ILMN_147161,96,2662.8,3531.7,2452.6,4455.2,3996.9,3481.6,4049,3268,3801.3,2780.2,4258.1,3308.9,2968.5,4347.5,3206.9,3142.3,Med,"Drosophila melanogaster Medea CG1775-RA, transcript variant A (Med), mRNA.",24651680
ILMN_154163,101,67.4,61,66.3,57.9,64.9,63,64.8,50.8,69.5,65.3,54,55.5,55.5,63,65.5,67.6,repo,"Drosophila melanogaster reversed polarity CG31240-RA (repo), mRNA.",24647882
ILMN_154085,102,858,879.4,681.9,1619.8,1083.8,648,1379,736.5,1224.9,525.2,1112,1086.7,641.7,996.8,1040.9,977,pav,"Drosophila melanogaster pavarotti CG1258-RA (pav), mRNA.",24657395
ILMN_144862,105,1691.3,1700.9,1207.3,2630.5,2208.9,1202.8,2260.7,1647.2,2616.9,1165.2,1955.4,1771.9,1447.7,1904.7,1926.8,1902.1,hyd,"Drosophila melanogaster hyperplastic discs CG9484-RA (hyd), mRNA.",24645473
ILMN_159425,109,419.6,295.3,236.8,278.5,423.6,440.1,365.5,366.1,468.5,457.8,387.4,342.2,485.4,294.1,370.1,233.5,Myo10A,"Drosophila melanogaster unconventional myosin class XV CG2174-RA (Myo10A), mRNA.",24641147
ILMN_158411,110,763.1,878.8,493.1,1035.6,1145.8,776.2,867.3,752.9,1262.8,673,843.5,666,715.1,1189.5,649.7,846.9,CG32560,"Drosophila melanogaster CG32560-RA (CG32560), mRNA.",24642841
ILMN_148149,111,2097.3,1766.4,1399.7,2282.6,2925.4,2474,1959.9,1981.4,2813.6,1883,2218.5,1808.3,2016.7,2485.1,1652.4,2312,CG6680,"Drosophila melanogaster CG6680-RB, transcript variant B (CG6680), mRNA.",24667356
ILMN_152280,113,66.4,71.7,62.8,64,67.2,56.8,58.8,55.7,67.5,62.5,55,62.9,50.8,60.4,50.5,67.7,tsg,"Drosophila melanogaster twisted gastrulation CG1502-RA (tsg), mRNA.",24641461
ILMN_154309,119,1055.1,1449.7,721.1,1492.1,1584.3,928.1,1317,1026.8,1818.6,811.8,1221.8,969.2,948.3,1641.9,1029,1165.8,RhoGEF2,"Drosophila melanogaster RhoGEF2 CG9635-RE, transcript variant E (RhoGEF2), mRNA.",45552688
ILMN_152971,121,1632.2,2392.4,1347.8,3208.6,2234.7,1451.9,2490.1,2020.1,2802.6,2050.7,2284.3,2078.5,1634.2,2414.6,2184.1,1730.2,Rho1,"Drosophila melanogaster Rho1 CG8416-RE, transcript variant E (Rho1), mRNA.",45552652
ILMN_152126,122,1371.4,1267.2,795.8,1433.1,1776.9,1242,1329.7,1037.4,1909,1049.8,1374.2,1056.2,1108.3,1578.7,1075.6,1189.1,Shc,"Drosophila melanogaster SHC-adaptor protein CG3715-RA (Shc), mRNA.",24661605
ILMN_158809,124,1409.6,2457.5,1236.7,3717.4,2176.6,1050.4,2484.5,1595.4,2641.9,984.6,2233.6,1897.7,986,3613.1,1564.7,3039,CG10417,"Drosophila melanogaster CG10417-RA, transcript variant A (CG10417), mRNA.",24585836
ILMN_143235,125,865.3,1017.5,613.3,712.2,1383.3,1109,892.1,694.4,1239,927.3,986.4,533,793.4,1099.5,598.6,651.1,CG7993,"Drosophila melanogaster CG7993-RA (CG7993), mRNA.",24647877
ILMN_145155,127,196.7,188.5,124.6,219.2,207.7,95.2,184.8,131.5,251.5,126.3,140.8,151.7,135.2,145,142.6,188.7,jing,"Drosophila melanogaster jing CG9403-RD, transcript variant D (jing), mRNA.",45552452
ILMN_144551,130,154.4,148.4,123.5,210.4,187.5,112.2,180,141.7,195.9,118.2,159.1,154.1,127.2,152.8,155.1,199.9,Pk17E,"Drosophila melanogaster Protein kinase-like 17E CG7001-RA (Pk17E), mRNA.",24643117
ILMN_159109,134,2487.4,2841.3,1794.9,4181.5,3364.2,1880.3,3363,2508.2,4103,2059.1,3222.2,2769,2052.5,2686.4,2868.3,2618.1,msk,"Drosophila melanogaster moleskin CG7935-RA (msk), mRNA.",24660621
ILMN_152968,137,334.4,347.6,198.2,374.1,334,198.1,354.2,271.9,473.3,236.4,289,291.9,242,287.4,294.1,329.7,Pvr,"Drosophila melanogaster PDGF- and VEGF-receptor related CG8222-RC, transcript variant C (Pvr), mRNA.",28574574
ILMN_150557,140,62.9,65.7,59.5,62.7,65.8,54.8,57.8,49.9,61.9,69.5,53.4,55.4,51.4,55.3,58.5,62.5,fs(1)N,"Drosophila melanogaster female sterile (1) Nasrat CG11411-RA (fs(1)N), mRNA.",23397577
ILMN_158493,147,850.8,906.8,772.9,1403.1,1144.9,772.3,1206.2,1095.6,1283.4,730.6,1189.1,940.4,860.4,1018.5,992.3,1231.5,aph-1,"Drosophila melanogaster anterior pharynx defective 1 CG2855-RA (aph-1), mRNA.",24581215
ILMN_158248,153,819.4,959,619.3,917.7,1226.4,600.5,1070.9,785.2,1532.3,566.5,1079.5,820.5,792.4,1043,799.2,571.1,MAPk-Ak2,"Drosophila melanogaster MAP kinase activated protein-kinase-2 CG3086-RB, transcript variant B (MAPk-Ak2), mRNA.",28571434
ILMN_152622,154,2227.3,2876.8,1767.1,3169.1,3180.2,2916.8,2773,2377.6,3258.2,2456.1,2936.2,2029.6,2123.2,3559.6,2154.3,2745.4,Aats-gly,"Drosophila melanogaster Glycyl-tRNA synthetase CG6778-RA, transcript variant A (Aats-gly), mRNA.",24664465
ILMN_147006,171,463.6,445.2,283.2,581.4,656.6,374.6,561.7,419.1,675,361.7,451,459.5,459.7,556,498.5,430.9,ara,"Drosophila melanogaster araucan CG10571-RA (ara), mRNA.",24663379
ILMN_149563,174,4225.8,5936.8,3307.8,7373.1,6285.9,3706.6,6085.5,4349.4,7113.8,3624.8,5446.8,4743.3,3417.1,7386.4,4510,5750.1,Z4,"Drosophila melanogaster Z4 CG7752-RA (Z4), mRNA.",24667973
ILMN_152564,178,322.6,267.4,240.2,369.4,397.6,242.6,353.7,300.1,458,250.1,305.5,287.5,299.7,301.6,331.1,306.8,mod(r),"Drosophila melanogaster modifier of rudimentary CG17828-RB, transcript variant B (mod(r)), mRNA.",24638903
ILMN_153285,185,338.6,349.6,265.5,557,403.4,340.7,412.7,348.6,439.8,344.4,368.9,380.5,300.7,391.8,400.3,363.6,in,"Drosophila melanogaster inturned CG16993-RA (in), mRNA.",28574633
ILMN_143442,186,68.8,63.2,69.1,61.4,58.6,51.9,50.5,47.7,64.3,63.2,51.5,54.9,49,51.8,50.7,63.9,fkh,"Drosophila melanogaster fork head CG10002-RA (fkh), mRNA.",24650827
ILMN_152589,205,81.9,77,70.2,86.3,87.7,70,81.8,67.5,96.8,72.5,71.2,76.8,67.6,89.5,72,95.2,crc,"Drosophila melanogaster CG8669-RD, transcript variant D (crc), mRNA.",85724991
ILMN_156165,206,328.7,355.8,165.4,279.3,488.3,396,226.1,168.3,424.9,336.2,229.3,207.4,329.1,461.2,209.5,243.4,pie,"Drosophila melanogaster pineapple eye CG5354-RA (pie), mRNA.",24583418
ILMN_150861,208,442.1,434.5,263.8,463.1,590.2,229.6,637.1,494.9,960.3,231.3,609.8,517.4,338.8,791.6,358.6,391.1,smi35A,"Drosophila melanogaster smell impaired 35A CG4551-RE, transcript variant E (smi35A), mRNA.",85724947
ILMN_155698,209,442.1,550,230.7,468.1,609.2,328.8,476,321.7,741.9,338.2,410.2,337.4,345.4,577.5,348,304.8,disp,"Drosophila melanogaster dispatched CG2019-RA (disp), mRNA.",24644455
ILMN_148885,213,68.9,64,60.4,60,63.6,51.6,59.7,47.7,56.2,56.3,52,55.8,54.3,52.1,52.3,58.6,oc,"Drosophila melanogaster ocelliless CG12154-RA, transcript variant A (oc), mRNA.",45549122
ILMN_156371,215,70.4,68.6,69.3,63.8,63.1,57.7,61,51.4,58.1,67.2,54.8,56.9,61.1,66.2,60.2,71.2,CG32158,"Drosophila melanogaster CG32158-RA, transcript variant A (CG32158), mRNA.",45551567
ILMN_144631,220,48.3,50.6,54.4,50,50,50,47.9,45,53.3,64.3,44.3,49.8,49.2,48.5,45.1,55.3,scw,"Drosophila melanogaster screw CG31695-RA (scw), mRNA.",28574349
ILMN_155156,223,1151.1,1659.3,1069.4,2097.4,1771.1,1712.1,1634.7,1343,1469.3,1295.8,1828.4,1340.8,1067.9,2155.4,1262.3,2297.1,CG14939,"Drosophila melanogaster CG14939-RA (CG14939), mRNA.",24583734
ILMN_159332,230,1117.5,1249.9,885.2,2027.7,1588,1111.7,1442.5,1198.7,1617.5,831.7,1408.3,1067.2,866.2,1620.9,1029.5,1944.3,cdc2,"Drosophila melanogaster cdc2 CG5363-RA (cdc2), mRNA.",24583390
ILMN_153083,233,120.7,132.6,108.8,145.8,144.8,112.6,138.2,110.3,130.1,130.5,118.4,121,112,112.2,125.6,141.9,CG14755,"Drosophila melanogaster CG14755-RA (CG14755), mRNA.",24586559
ILMN_144840,234,173.4,158.8,153.5,173.4,209,117,231.2,165.6,229.3,143.4,237.2,185.2,166.3,150.3,183.7,148.7,tara,"Drosophila melanogaster taranis CG6889-RB, transcript variant B (tara), mRNA.",24647379
ILMN_148491,237,79.7,74.6,82.2,65.6,61.5,61.8,62.3,53.6,65.8,76.1,52,64.5,61.2,66.4,63.4,91,D,"Drosophila melanogaster Dichaete CG5893-RA (D), mRNA.",24664097
ILMN_155381,240,254.7,301.9,273.4,465.7,354.1,349.4,353.1,286.8,316.3,268.5,326.5,339,259.9,369,347.7,393.6,twi,"Drosophila melanogaster twist CG2956-RB, transcript variant B (twi), mRNA.",85725061
ILMN_147206,247,75.9,81.6,74.2,72.4,80,60.1,73.4,59.7,90,64.3,81.2,67.1,74,69.8,64.6,81.2,hep,"Drosophila melanogaster hemipterous CG4353-RB, transcript variant B (hep), mRNA.",24641663
ILMN_142563,261,756.8,1555.6,569.4,1193.2,1200.3,546.3,1125.9,782.5,1566.9,651.8,1147.3,723.4,531.2,1573.4,771.9,1071.6,hh,"Drosophila melanogaster hedgehog CG4637-RB, transcript variant B (hh), mRNA.",85725249
ILMN_139419,263,1411.3,1844.5,1199.7,2309,1953,1739.6,1779.1,1579.1,1989.1,1453.7,1966.7,1591.3,1319.5,2176.3,1659.2,1916,Mer,"Drosophila melanogaster Merlin CG14228-RA (Mer), mRNA.",24643359
ILMN_155429,265,1965.7,3268.8,1474.1,3158.5,2826.5,1484.5,2448.2,2022,3563.8,1705,2657,2010.3,1569.9,3358.1,1715.9,2775.2,Gli,"Drosophila melanogaster Gliotactin CG3903-RB, transcript variant B (Gli), mRNA.",24584489
ILMN_157031,266,1020.5,1218.5,631.2,1085,1318.8,903.4,952.1,949.2,1568.9,747.8,1099,771.4,807.4,1540.9,758.8,1207.6,if,"Drosophila melanogaster inflated CG9623-RB, transcript variant B (if), mRNA.",24642640
ILMN_158034,269,62.8,69,62.7,62,70.8,63.9,56.2,52.3,63.9,65.7,53,58.4,57.1,55.9,57.4,89.7,slif,"Drosophila melanogaster slimfast CG11128-RC, transcript variant C (slif), mRNA.",24668809
ILMN_154659,273,1047,1157.8,785.2,1496.4,1512.4,1233.5,1261.6,1114.9,1429.2,1013.4,1295.4,1103.9,1054.7,1351.6,1126,1371.7,Rbf,"Drosophila melanogaster Retinoblastoma-family protein CG7413-RA (Rbf), mRNA.",24638968
ILMN_154292,278,68.5,73.3,67.3,65.2,60.5,61.2,58.2,49.7,72,63.1,51.8,53.6,54.8,53.3,49.7,73.5,CG30417,"Drosophila melanogaster CG30417-RA (CG30417), mRNA.",24659253
ILMN_153346,285,98.2,94.5,78.2,96.9,99.2,60.5,83.3,68,123.2,73.7,72.5,85.5,66.6,70.2,77.7,89.9,crc,"Drosophila melanogaster CG8669-RB, transcript variant B (crc), mRNA.",24585649
ILMN_157766,296,4799.8,5131.1,3781.7,6686,6654.9,3486,6267.5,4383.6,7587.3,3401.9,5572.4,5099.6,4444.1,5322.6,5517.3,4750.2,ctp,"Drosophila melanogaster cut up CG6998-RA, transcript variant A (ctp), mRNA.",24639732
ILMN_159179,312,107.6,138.3,97.9,119.4,127.8,80.7,123.4,112.3,150.4,99.8,109.8,96.6,87.4,106.9,85.8,151.9,Pvf1,"Drosophila melanogaster PDGF- and VEGF-related factor 1 CG7103-RA (Pvf1), mRNA.",24643135
ILMN_149916,315,1987,3091.8,1365.6,3173.2,2756.6,1832.9,2259.3,1983.6,3189.8,1664.4,2330.4,1842,1407.2,3464.4,1700.3,2885.2,dlp,"Drosophila melanogaster dally-like CG32146-RB, transcript variant B (dlp), mRNA.",45553094
ILMN_159254,329,66.8,61.1,61.5,61.6,56.2,60,53.7,43.3,60.3,60.7,53.5,59.4,57,50.3,55,71.3,zen2,"Drosophila melanogaster zerknullt-related CG1048-RA (zen2), mRNA.",19550226
ILMN_147936,331,1117.9,1266.7,888.8,2014.1,1592.9,746.2,1958.5,1079.6,2075.7,651.5,1471.2,1704.9,983.4,1951.4,1294,1585.9,crol,"Drosophila melanogaster crooked legs CG14938-RB, transcript variant B (crol), mRNA.",24583732
ILMN_141694,338,1112.4,1330.6,741.8,1827.1,1459.9,739.9,1471.9,776,1841.8,666.4,1069.4,1242.9,919.3,1572.8,1095.9,1375.4,ex,"Drosophila melanogaster expanded CG4114-RA (ex), mRNA.",24580642
ILMN_142060,341,122.7,116,110.3,109.8,121.1,83.1,103.3,88.7,111.3,98.5,85.1,102.9,90.5,91.8,97.5,130.9,dl,"Drosophila melanogaster dorsal CG6667-RB, transcript variant B (dl), mRNA.",24584823
ILMN_141392,361,190.5,230.4,113.6,103.1,123.9,85.1,92.5,149.1,306.7,146,154.6,85.9,87.1,110.6,84.5,228.2,sens,"Drosophila melanogaster senseless CG32120-RA (sens), mRNA.",24663771
ILMN_140774,368,566.8,656.2,559.1,905.7,848.4,621.8,991.4,739.4,942.9,523.8,1077.8,650.8,549,904.5,728.2,701.9,CG7845,"Drosophila melanogaster CG7845-RA (CG7845), mRNA.",24585946
ILMN_150792,377,387,404.5,295.3,486.6,498.9,384.4,447.6,351.8,522.4,386.4,429.3,374.3,381,416,413.8,401.8,Rbf2,"Drosophila melanogaster Retinoblastoma-family protein 2 CG5083-RA (Rbf2), mRNA.",24647315
ILMN_153249,398,1658.4,1633.6,1139.6,2308.8,2157.2,1743.9,1804.6,1448.3,2364.3,1380.8,1664,1642.6,1421,2199.6,1558.6,1848.7,CG8044,"Drosophila melanogaster CG8044-RA, transcript variant A (CG8044), mRNA.",24660539
ILMN_150863,401,7051.3,6473.5,5633.8,8687.4,9134.9,8031.1,8217.5,6799.5,10370.6,6288.2,9226.1,7063.5,7218.1,8138.5,7220.4,6685.5,lwr,"Drosophila melanogaster lesswright CG3018-RA, transcript variant A (lwr), mRNA.",24580656
ILMN_149456,403,65.5,81.9,63.8,72.4,57.7,56.1,60.6,48.4,71,60.8,58.3,58.9,55.7,62,59.8,74.9,Toll-6,"Drosophila melanogaster Toll-6 CG7250-RA (Toll-6), mRNA.",24664588
ILMN_157732,427,1255.2,1552,895.7,1825.8,1612.1,898,1631.5,1309.4,2154.8,1058,1676.8,1301.7,1021.5,1616.1,1265.7,1336.1,mth,"Drosophila melanogaster methuselah CG6936-RB, transcript variant B (mth), mRNA.",24654725
ILMN_155771,430,201.1,227,161.3,260.9,185.1,129.7,235.4,240.8,317.5,194.5,250.1,199,154.2,140.1,213.9,280.2,Tsp42Ei,"Drosophila melanogaster Tetraspanin 42Ei CG12843-RA (Tsp42Ei), mRNA.",24586156
ILMN_151497,437,353.3,479.2,328.1,699.8,573.7,469.6,548.9,398.8,524.7,294.7,527.2,479.9,318.4,852.7,408.8,582.6,nvy,"Drosophila melanogaster nervy CG3385-RA (nvy), mRNA.",24762601
ILMN_142201,442,58.5,76,69.8,72.5,61.6,62.3,62,54.6,68.4,70,59.4,55.2,66.2,67.4,58.3,82.8,CG1139,"Drosophila melanogaster CG1139-RA (CG1139), mRNA.",24655810
ILMN_150802,453,1039,1415,707.3,1654.8,1324.7,965,1284.6,948,1556.6,945.2,1303.5,949.2,808.7,1407.6,1103.9,1277.2,Gmd,"Drosophila melanogaster GDP-mannose 4,6-dehydratase CG8890-RA (Gmd), mRNA.",24158426
ILMN_156552,460,737.6,1269.8,543.1,1264.5,1181.1,734.5,948.1,789.2,1211,686.7,1040.4,672.7,592.1,1384.7,723.7,1287.7,Ide,"Drosophila melanogaster Insulin degrading metalloproteinase CG5517-RA (Ide), mRNA.",24667425
ILMN_158176,480,57.3,61.8,56.5,60.2,50.6,45.5,56.5,44.6,62.1,63,51,55.7,46.6,46.9,53.9,67.1,Obp19b,"Drosophila melanogaster Odorant-binding protein 19b CG1670-RA (Obp19b), mRNA.",24158423
ILMN_156025,482,431.3,432.8,299.6,545,521,302.8,453.2,345.3,582.4,329.3,376.2,393.5,401.5,417.1,392.8,459.4,Magi,"Drosophila melanogaster Magi CG30388-RA (Magi), mRNA.",24656725
ILMN_158359,501,66.5,63.6,67.3,63.1,61.2,53.7,52.1,47.3,57.8,62.1,55.1,54.3,59.1,53.5,51.7,75.8,Nep5,"Drosophila melanogaster Neprilysin 5 CG6265-RA, transcript variant A (Nep5), mRNA.",24650488
ILMN_152278,509,420,601.9,303,666.2,596.7,221.9,586.5,420.5,758.6,262.5,386.9,426.5,342.6,506.1,475,500.5,babo,"Drosophila melanogaster baboon CG8224-RA, transcript variant A (babo), mRNA.",19549871
ILMN_142339,515,64.8,67.4,65.8,57.2,62.5,56.9,54.4,50.6,59.3,60.6,51.8,61.2,51.5,53.3,54.5,72.7,Ilp7,"Drosophila melanogaster Ilp7 CG13317-RA (Ilp7), mRNA.",24639540
ILMN_159078,526,190.3,219.3,171.1,278.7,206,118.4,224.7,259,246.3,176.8,259.9,195.1,157.6,184.8,188.9,271.1,Glut1,"Drosophila melanogaster Glucose transporter 1 CG1086-RA, transcript variant A (Glut1), mRNA.",24654935
ILMN_156711,543,2337.6,2169.7,1674.3,3071.8,3367,2519.2,2616.8,2532.1,3233.4,1994.3,2954.3,2074.4,2372.7,2733,2387.3,2649.6,Psn,"Drosophila melanogaster Presenilin CG18803-RA, transcript variant A (Psn), mRNA.",24667496
ILMN_159465,585,170,333.5,149.8,270.4,266.2,125,263.4,184.4,341.9,151.3,230.7,166,149.2,350.1,167.7,232.5,egh,"Drosophila melanogaster egghead CG9659-RB, transcript variant B (egh), mRNA.",24639363
ILMN_141540,590,600.6,763.9,457.7,1061.1,752.5,362.4,852.3,711.6,1064.8,384.2,707.3,697.5,458.9,766.1,592.5,890.9,bib,"Drosophila melanogaster big brain CG4722-RA (bib), mRNA.",24583198
ILMN_157736,592,4875.5,5240.4,4773.6,8091.7,9214.7,6076.9,7603.2,5992.8,7571.4,4179.5,7904,6038.7,6653.2,9182.7,5968.3,6265.8,CkIIalpha,"Drosophila melanogaster Casein kinase II  subunit CG17520-RC, transcript variant C (CkIIalpha), mRNA.",24668865
ILMN_148287,594,1648.8,1904.7,1302.4,2286.7,2194.1,1747.6,2040.7,1746.5,2129.1,1652.9,2044,1696.5,1544.9,2250,1753.7,1961.3,cul-5,"Drosophila melanogaster cullin-5 CG1401-RA (cul-5), mRNA.",24650934
ILMN_159422,601,459.7,472,314.9,616.7,594.7,379.4,543.8,422.4,661.4,406.2,513.8,461.4,391.6,517.5,474.2,443.7,Hrs,"Drosophila melanogaster Hepatocyte growth factor regulated tyrosine kinase substrate CG2903-RB, transcript variant B (Hrs), mRNA.",28574008
ILMN_146281,605,2868.8,3523.5,2026.1,3316.6,3977.3,3383.9,3069.9,2762.2,4275.9,3317.1,3387.6,2503.9,3194.1,4482.3,2452.5,2861.3,Nrx-IV,"Drosophila melanogaster Neurexin IV CG6827-RA, transcript variant A (Nrx-IV), mRNA.",24663168
ILMN_145723,607,185.3,177,125.1,124.6,272.9,130.3,212.3,167.9,288.7,159.7,247.4,136.2,181.7,188.2,149.1,101.3,slpr,"Drosophila melanogaster slipper CG2272-RA (slpr), mRNA.",24640535
ILMN_148122,609,136.7,161.3,106.9,190.9,171.2,115.4,141.3,124.6,188.3,130.7,146.2,127.7,115,167.4,130.5,173.1,CG17359,"Drosophila melanogaster CG17359-RA (CG17359), mRNA.",24664013
ILMN_152910,614,439.1,483.6,328.5,554.6,591.1,478.4,486.2,458.3,594.9,435.4,520.9,409.8,418.9,499.4,425.4,538.5,frc,"Drosophila melanogaster fringe connection CG3874-RA (frc), mRNA.",28574869
ILMN_145010,620,599.7,605.7,337.6,778.5,626.3,602.1,625.9,479.5,701.2,492.2,565,501,455.2,769,484.8,591,Brd,"Drosophila melanogaster Bearded CG3096-RA (Brd), mRNA.",24664358
