GENE_NAME,GENE_SYMBOL,FLYBASE_PRIMARY,spot
CG10989,CG10989,FBgn0037392,65
CG18410,CG18410,FBgn0039226,66
CG14789,O-fut2,FBgn0027791,67
CG14250,CG14250,FBgn0039448,68
CG8170,CG8170,FBgn0033365,69
CG10777,CG10777,FBgn0029979,70
CG7212,cdm,FBgn0038574,71
CG4062,Aats-val,FBgn0027079,72
CG5734,CG5734,FBgn0032191,73
CG1484,fliI,FBgn0000709,74
CG5740,CG5740,FBgn0038932,75
CG13845,CG13845,FBgn0038971,76
CG8239,CG8239,FBgn0030683,77
CG8693,CG8693,FBgn0033294,78
CG9465,CG9465,FBgn0032067,79
CG6211,gce,FBgn0030627,80
CG18507,CG18507,FBgn0028527,81
CG18510,CG18510,FBgn0035053,82
CG15088,CG15088,FBgn0034381,83
CG3064,futsch,FBgn0015390,84
CG15119,mip40,FBgn0034430,85
CG12885,CG12885,FBgn0039523,86
CG7102,CG7102,FBgn0031961,87
CG8005,CG8005,FBgn0035854,88
CG12267,CG12267,FBgn0038057,89
CG17797,Acp29AB,FBgn0015583,90
CG32684,&agr;-Man-I,FBgn0010338,91
CG1555,cn,FBgn0000337,92
CG30497,CG30497,FBgn0050497,93
CG3774,CG3774,FBgn0029849,94
CG4026,IP3K1,FBgn0032147,95
CG1428,CG1428,FBgn0032967,96
CG17592,Usf,FBgn0029711,97
CG7182,CG7182,FBgn0035878,98
CG4051,egl,FBgn0000562,99
null,-,,100
null,No Amplicon Gene Matches,,101
CG6678,CG6678,FBgn0038917,102
CG12800,Cyp6d4,FBgn0039006,103
CG6691,CG6691,FBgn0032971,104
CG13046,CG13046,FBgn0036595,105
CG7206,CG7206,FBgn0030892,106
CG7207,CG7207,FBgn0027569,107
CG17839,CG17839,FBgn0036454,108
CG4065,CG4065,FBgn0034982,109
CG1594,hop,FBgn0004864,110
CG7094,CG7094,FBgn0032650,111
CG10505,CG10505,FBgn0034612,112
CG5685,Calx,FBgn0013995,113
CG12715,CG12715,FBgn0030443,114
CG14458,CG14458,FBgn0037173,115
CG2750,CG2750,FBgn0030376,116
CG11676,CG11676,FBgn0037771,117
CG8801,CG8801,FBgn0028473,118
CG7502,CG7502,FBgn0030987,119
CG11093,CG11093,FBgn0039932,120
CG13405,CG13405,FBgn0035097,121
CG9993,CG9993,FBgn0034553,122
CG4231,Or22b,FBgn0026397,123
CG9996,CG9996,FBgn0039273,124
CG14916,Gr32a,FBgn0041246,125
CG31716,CG31716,FBgn0051716,126
CG31104,CG31104,FBgn0051104,127
CG5962,Arr2,FBgn0000121,128
null,Amplicon Hits Multiple Gene Regions,,129
CG9738,Mkk4,FBgn0024326,130
Barcode Element,,,131
CG15472,CG15472,FBgn0029724,132
CG11475,CG11475,FBgn0034687,133
CG9461,CG9461,FBgn0037760,134
CG6234,CG6234,FBgn0038071,135
CG15481,Ski6,FBgn0032487,136
CG4211,nonA,FBgn0004227,137
CG10333,CG10333,FBgn0032690,138
Barcode Element,,,139
CG12241,CG12241,FBgn0038304,140
CG5191,CG5191,FBgn0038803,141
CG9769,CG9769,FBgn0037270,142
CG3998,zf30C,FBgn0022720,143
CG15530,CG15530,FBgn0039752,144
CG10948,CG10948,FBgn0036317,145
CG10949,CG10949,FBgn0032858,146
CG1288,CG1288,FBgn0037484,147
CG10954,Arc-p34,FBgn0032859,148
CG31902,CG31902,FBgn0051902,149
CG12345,Cha,FBgn0000303,150
CG7102,CG7102,FBgn0031961,151
CG1794,Mmp2,FBgn0033438,152
CG7659,tap,FBgn0015550,153
CG11263,CG11263,FBgn0036330,154
CG2718,Gs1,FBgn0001142,155
CG11416,CG11416,FBgn0035025,156
CG12432,CG12432,FBgn0030843,157
CG5033,CG5033,FBgn0028744,158
CG10975,Ptp69D,FBgn0014007,159
CG5036,CG5036,FBgn0028743,160
null,No Amplicon Gene Matches,,161
CG13043,CG13043,FBgn0036600,162
CG11305,Sirt7,FBgn0039631,163
CG32113,CG32113,FBgn0052113,164
CG13075,CG13075,FBgn0036563,165
CG1091,CG1091,FBgn0037470,166
CG4625,Dhap-at,FBgn0040212,167
CG11020,nompC,FBgn0016920,168
CG6476,Su(var)3-9,FBgn0003600,169
CG2944,,FBgn0033008,170
CG5557,sqz,FBgn0010768,171
CG11847,CG11847,FBgn0039281,172
CG8642,CG8642,FBgn0033312,173
CG16935,CG16935,FBgn0033883,174
CG5085,Sirt2,FBgn0038788,175
CG7763,CG7763,FBgn0040503,176
CG10222,CG10222,FBgn0036356,177
CG13109,tai,FBgn0041092,178
CG3167,CG3167,FBgn0034962,179
CG6375,pit,FBgn0025140,180
CG3180,RpII140,FBgn0003276,181
CG13025,CG13025,FBgn0036660,182
CG13162,CG13162,FBgn0033718,183
CG3656,Cyp4d1,FBgn0005670,184
CG8920,CG8920,FBgn0027529,185
CG1216,CG1216,FBgn0035107,186
CG18069,CaMKII,FBgn0004624,187
CG1119,Gnf1,FBgn0004913,188
CG17158,cpb,FBgn0011570,189
CG5524,CG5524,FBgn0039164,190
CG9064,Ucp4C,FBgn0031757,191
CG13777,milt,FBgn0022201,192
CG3231,CG3231,FBgn0027522,193
CG10591,CG10591,FBgn0035621,194
CG1291,CG1291,FBgn0035401,195
CG14383,CG14383,FBgn0038102,196
CG33038,CG33038,FBgn0053038,197
CG33510,CG33510,FBgn0053510,198
CG13455,CG13455,FBgn0036498,199
CG15890,CG15890,FBgn0030576,200
CG1344,CG1344,FBgn0027507,201
CG10593,Acer,FBgn0016122,202
CG6791,CG6791,FBgn0037918,203
CG1131,&agr;-Est10,FBgn0015569,204
CG10619,tup,FBgn0003896,205
CG7705,CG7705,FBgn0038639,206
CG7973,CG7973,FBgn0036507,207
CG10623,CG10623,FBgn0032727,208
CG6699,&bgr;Cop,FBgn0025724,209
CG6597,CG6597,FBgn0036967,210
CG3491,CG3491,FBgn0028887,211
CG32297,CG32297,FBgn0052297,212
CG15333,CG15333,FBgn0029989,213
CG13953,CG13953,FBgn0033416,214
CG5807,CG5807,FBgn0027539,215
CG5810,CG5810,FBgn0038866,216
CG14593,CG14593,FBgn0033058,217
CG14064,beat-VI,FBgn0039584,218
null,Amplicon Hits Multiple Gene Regions,,219
CG14593,CG14593,FBgn0033058,220
CG13562,CG13562,FBgn0034928,221
CG2291,CG2291,FBgn0033279,222
CG7601,CG7601,FBgn0027583,223
CG6628,CG6628,FBgn0036072,224
CG15333,CG15333,FBgn0029989,225
CG14926,CG14926,FBgn0032360,226
CG11128,slif,FBgn0037203,227
CG7267,CG7267,FBgn0030079,228
CG14854,CG14854,FBgn0038238,229
CG15452,CG15452,FBgn0031130,230
CG1311,CG1311,FBgn0035523,231
CG5680,bsk,FBgn0000229,232
CG13645,CG13645,FBgn0039254,233
CG4999,Tsp66E,FBgn0035936,234
CG7700,Gos28,FBgn0044871,235
CG11347,CG11347,FBgn0035542,236
CG1712,Gr43a,FBgn0041243,237
CG11242,CG11242,FBgn0034451,238
null,Amplicon Hits Multiple Gene Regions,,239
CG32676,CG32676,FBgn0052676,240
CG8885,CG8885,FBgn0031656,241
CG13186,CG13186,FBgn0033680,242
CG18066,CG18066,FBgn0034517,243
CG18812,CG18812,FBgn0042135,244
CG8881,skpB,FBgn0026176,245
CG13687,CG13687,FBgn0031269,246
CG32138,CG32138,FBgn0052138,247
CG13198,CG13198,FBgn0033640,248
CG7911,CG7911,FBgn0039735,249
CG15048,CG15048,FBgn0030935,250
CG9541,CG9541,FBgn0032083,251
CG3509,CG3509,FBgn0038252,252
CG6946,CG6946,FBgn0037954,253
CG17124,CG17124,FBgn0032297,254
CG10413,CG10413,FBgn0032689,255
CG10737,CG10737,FBgn0034420,256
CG15503,CheB93a,FBgn0038888,257
CG15514,CG15514,FBgn0039712,258
CG15130,CG15130,FBgn0032860,259
CG33213,CG33213,FBgn0053213,260
CG4500,CG4500,FBgn0028519,261
CG11761,translin,FBgn0033528,262
CG13748,CG13748,FBgn0033355,263
null,Amplicon Hits Multiple Gene Regions,,264
null,-,,265
null,-,,266
CG31733,ms(2)35Ci,FBgn0011239,267
CG14453,CG14453,FBgn0037179,268
null,No Amplicon Gene Matches,,269
CG32423,CG32423,FBgn0052423,270
CG18315,Aprt,FBgn0000109,271
null,Amplicon Hits Multiple Gene Regions,,272
CG15211,CG15211,FBgn0030234,273
CG6659,CG6659,FBgn0030946,274
CG12650,CG12650,FBgn0040932,275
CG6132,Sgs8,FBgn0003378,276
CG14672,Spec2,FBgn0044823,277
CG14767,CG14767,FBgn0040777,278
CG32700,CG32700,FBgn0052700,279
CG18377,Cyp49a1,FBgn0033524,280
CG30503,CG30503,FBgn0050503,281
CG1681,CG1681,FBgn0030484,282
CG17290,CG17290,FBgn0034201,283
CG7594,Eig71Eh,FBgn0014848,284
CG30084,tun,FBgn0050084,285
CG32513,bves,FBgn0031150,286
CG12410,cv,FBgn0000394,287
CG14969,CG14969,FBgn0035440,288
CG3725,Ca-P60A,FBgn0004551,289
CG10978,jagn,FBgn0037374,290
CG11843,CG11843,FBgn0039630,291
CG13134,CG13134,FBgn0032182,292
CG33317,CG33317,FBgn0053317,293
CG30040,jeb,FBgn0033681,294
CG13838,CG13838,FBgn0039041,295
CG11373,CG11373,FBgn0040679,296
CG17048,CG17048,FBgn0033828,297
CG2048,dco,FBgn0002413,298
null,No Amplicon Gene Matches,,299
null,No Amplicon Gene Matches,,300
CG1643,CG1643,FBgn0029943,301
CG13427,CG13427,FBgn0034514,302
CG5269,vib,FBgn0026158,303
CG17309,Csk,FBgn0037925,304
CG1086,Glut1,FBgn0025593,305
CG16971,CG16971,FBgn0035114,306
CG4147,Hsc70-3,FBgn0001218,307
CG15693,RpS20,FBgn0019936,308
CG10478,CG10478,FBgn0035657,309
null,Amplicon Hits Multiple Gene Regions,,310
null,No Amplicon Gene Matches,,311
CG18186,CG18186,FBgn0034255,312
CG6751,CG6751,FBgn0033562,313
CG12072,wts,FBgn0011739,314
null,No Amplicon Gene Matches,,315
CG13722,CG13722,FBgn0035553,316
CG3722,shg,FBgn0003391,317
CG32701,l(1)G0320,FBgn0028327,318
CG10992,CG10992,FBgn0030521,319
CG14089,CG14089,FBgn0036861,320
CG33522,scaf6,FBgn0053522,321
CG11009,CG11009,FBgn0036318,322
CG30296,CG30296,FBgn0050296,323
CG30463,CG30463,FBgn0050463,324
null,spotting_soln,null,325
CG4027,Act5C,FBgn0000042,326
null,spotting_soln,null,327
null,Ambion_Spike_5,null,328
null,Ambion_Spike_6,null,329
null,no_primer,null,330
T:Scer\GAL4,T:Scer\GAL4,FBgn0026021,331
null,Arab_Spike_71,null,332
CG6652,CG6652,FBgn0036687,333
null,Amplicon Hits Multiple Gene Regions,,334
CG15202,CG15202,FBgn0030271,335
null,-,,336
CG12584,CG12584,FBgn0037257,337
CG14109,CG14109,FBgn0036364,338
CG5871,CG5871,FBgn0038870,339
CG32104,CG32104,FBgn0052104,340
CG32975,nAcR&agr;-34E,FBgn0028875,341
CG31368,CG31368,FBgn0051368,342
CG5882,CG5882,FBgn0039490,343
CG5885,CG5885,FBgn0025700,344
CG17332,VhaSFD,FBgn0027779,345
CG14232,CG14232,FBgn0031061,346
CG2341,Ccp84Ad,FBgn0004780,347
CG9360,CG9360,FBgn0030332,348
CG8370,CG8370,FBgn0034060,349
CG17764,CG17764,FBgn0029751,350
CG14813,&dgr;COP,FBgn0028969,351
CG15453,CG15453,FBgn0031123,352
CG31999,CG31999,FBgn0051999,353
CG14292,CG14292,FBgn0038658,354
CG18766,CG18766,FBgn0042111,355
CG6950,CG6950,FBgn0037955,356
CG11471,Aats-ile,FBgn0027086,357
CG8160,CG8160,FBgn0034011,358
CG16705,CG16705,FBgn0039102,359
CG11128,slif,FBgn0037203,360
CG6995,CG6995,FBgn0039229,361
null,Amplicon Hits Multiple Gene Regions,,362
CG7017,CG7017,FBgn0036951,363
CG12991,CG12991,FBgn0030847,364
CG8728,CG8728,FBgn0033235,365
CG12691,CG12691,FBgn0029701,366
null,No Amplicon Gene Matches,,367
CG32369,CG32369,FBgn0052369,368
CG33144,CG33144,FBgn0053144,369
CG2174,Myo10A,FBgn0030252,370
CG8615,RpL18,FBgn0035753,371
CG7890,CG7890,FBgn0031005,372
CG3254,pgant2,FBgn0031530,373
CG6308,CG6308,FBgn0030645,374
CG11993,Mst85C,FBgn0028708,375
CG13392,CG13392,FBgn0032033,376
CG1809,CG1809,FBgn0033423,377
CG8458,Wnt8,FBgn0038134,378
CG16852,CG16852,FBgn0028942,379
CG6899,Ptp4E,FBgn0004368,380
CG8952,CG8952,FBgn0030688,381
CG7577,ppk20,FBgn0039676,382
CG31217,CG31217,FBgn0051217,383
CG30483,Prosap,FBgn0040752,384
CG32541,CG32541,FBgn0052541,385
CG12351,&dgr;Try,FBgn0010358,386
CG7548,CG7548,FBgn0035792,387
CG4586,CG4586,FBgn0029924,388
CG5114,CG5114,FBgn0036460,389
CG5162,CG5162,FBgn0030828,390
CG4927,CG4927,FBgn0034139,391
CG14856,CG14856,FBgn0038261,392
CG5424,f,FBgn0000630,393
CG14866,CG14866,FBgn0038315,394
CG1893,CG1893,FBgn0035390,395
CG5711,Arr1,FBgn0000120,396
CG10626,Lkr,FBgn0035610,397
CG10632,CG10632,FBgn0036302,398
CG9333,Oseg5,FBgn0032891,399
CG11961,CG11961,FBgn0034436,400
CG32256,Gr64c,FBgn0045477,401
CG11593,CG11593,FBgn0035488,402
CG6249,Csl4,FBgn0032346,403
CG6019,mus308,FBgn0002905,404
CG15593,Osi10,FBgn0037417,405
CG14574,CG14574,FBgn0037104,406
CG3294,CG3294,FBgn0031628,407
CG31802,CG31802,FBgn0051802,408
CG12699,CG12699,FBgn0046294,409
CG5838,Dref,FBgn0015664,410
CG11556,Rph,FBgn0030230,411
CG5567,CG5567,FBgn0036760,412
CG5602,CG5602,FBgn0034922,413
CG5739,CG5739,FBgn0032190,414
CG9623,if,FBgn0001250,415
CG11768,CG11768,FBgn0037625,416
CG6104,m2,FBgn0002592,417
CG7727,Appl,FBgn0000108,418
CG5612,CG5612,FBgn0039529,419
CG11278,Syx13,FBgn0036341,420
CG32100,CG32100,FBgn0052100,421
null,-,,422
CG9314,CG9314,FBgn0032061,423
CG12437,raw,FBgn0003209,424
CG9339,CG9339,FBgn0032901,425
CG15311,CG15311,FBgn0030182,426
CG18508,CG18508,FBgn0028746,427
CG5669,CG5669,FBgn0039169,428
CG18669,CG18669,FBgn0040599,429
CG12732,CG12732,FBgn0029759,430
CG1907,CG1907,FBgn0039674,431
CG11491,br,FBgn0000210,432
CG18418,CG18418,FBgn0035568,433
null,Amplicon Hits Multiple Gene Regions,,434
CG9291,Elongin-C,FBgn0023211,435
CG31139,CG31139,FBgn0051139,436
null,-,,437
CG6988,Pdi,FBgn0014002,438
CG4404,CG4404,FBgn0030432,439
CG13643,CG13643,FBgn0040601,440
CG9945,CG9945,FBgn0034527,441
CG7023,CG7023,FBgn0039025,442
CG33052,CG33052,FBgn0053052,443
CG8564,CG8564,FBgn0035776,444
CG8390,vlc,FBgn0010633,445
CG7282,CG7282,FBgn0030967,446
Barcode Element,,,447
CG7571,Oatp74D,FBgn0036732,448
CG11160,CG11160,FBgn0030257,449
CG17036,CG17036,FBgn0032449,450
CG1378,tll,FBgn0003720,451
CG3632,CG3632,FBgn0030735,452
CG11175,CG11175,FBgn0034530,453
CG30401,CG30401,FBgn0050401,454
Barcode Element,,,455
CG2616,CG2616,FBgn0037512,456
CG4722,bib,FBgn0000180,457
CG10909,CG10909,FBgn0038090,458
CG4912,eEF1&dgr;,FBgn0032198,459
CG17927,Mhc,FBgn0002741,460
CG15097,CG15097,FBgn0034396,461
CG7807,AP-2,FBgn0023417,462
Barcode Element,,,463
CG10021,bowl,FBgn0004893,464
CG7986,CG7986,FBgn0035850,465
CG7818,CG7818,FBgn0032016,466
CG2641,CG2641,FBgn0037518,467
CG7997,CG7997,FBgn0034117,468
CG15914,CG15914,FBgn0030700,469
CG1543,Tbh,FBgn0010329,470
CG1856,ttk,FBgn0003870,471
CG8738,CG8738,FBgn0033321,472
CG3306,CG3306,FBgn0036016,473
CG3299,Vinc,FBgn0004397,474
CG11453,CG11453,FBgn0038734,475
CG11926,CG11926,FBgn0031640,476
CG30440,CG30440,FBgn0050440,477
CG16848,CG16848,FBgn0032522,478
CG11589,VhaM9.7-1,FBgn0028664,479
CG11655,CG11655,FBgn0030638,480
CG3656,Cyp4d1,FBgn0005670,481
CG3625,CG3625,FBgn0031245,482
CG15667,Sara,FBgn0026369,483
CG3629,Dll,FBgn0000157,484
CG17492,CG17492,FBgn0032742,485
CG1718,CG1718,FBgn0031170,486
CG3136,CG3136,FBgn0033010,487
CG10203,xl6,FBgn0028554,488
CG8380,DAT,FBgn0034136,489
CG10462,CG10462,FBgn0032815,490
CG15721,CG15721,FBgn0030438,491
CG10467,CG10467,FBgn0035679,492
CG8177,CG8177,FBgn0036043,493
CG8187,CG8187,FBgn0034027,494
CG5215,Zn72D,FBgn0017453,495
CG1994,l(1)G0020,FBgn0027330,496
CG12855,CG12855,FBgn0033973,497
CG30035,CG30035,FBgn0050035,498
CG15614,CG15614,FBgn0034168,499
CG4650,CG4650,FBgn0032549,500
CG5413,CREG,FBgn0025456,501
CG12446,CG12446,FBgn0031201,502
CG8541,CG8541,FBgn0035788,503
CG8254,exex,FBgn0041156,504
CG32491,mod(mdg4),FBgn0002781,505
CG5144,CG5144,FBgn0035957,506
CG4907,CG4907,FBgn0039010,507
CG4911,CG4911,FBgn0035959,508
CG12272,CG12272,FBgn0036571,509
CG7881,CG7881,FBgn0033048,510
CG11423,CG11423,FBgn0034251,511
CG7906,CG7906,FBgn0036417,512
CG1903,sno,FBgn0005410,513
CG4821,Tequila,FBgn0023479,514
CG6493,Dcr-2,FBgn0034246,515
CG6515,Takr86C,FBgn0004841,516
CG13343,CG13343,FBgn0033882,517
CG7922,CG7922,FBgn0038889,518
CG5903,CG5903,FBgn0038400,519
null,Amplicon Hits Multiple Gene Regions,,520
CG7927,CG7927,FBgn0027549,521
CG13360,CG13360,FBgn0025620,522
CG13365,CG13365,FBgn0029529,523
CG7897,gp210,FBgn0033039,524
CG14476,CG14476,FBgn0027588,525
CG18112,CG18112,FBgn0039702,526
CG3359,mfas,FBgn0024211,527
CG5790,CG5790,FBgn0032677,528
CG9144,CG9144,FBgn0031773,529
CG31265,CG31265,FBgn0051265,530
null,-,,531
CG32704,CG32704,FBgn0052704,532
CG13493,comr,FBgn0034667,533
CG33227,CG33227,FBgn0050405,534
CG2262,Smox,FBgn0025800,535
CG2092,scra,FBgn0004243,536
CG2100,CG2100,FBgn0037369,537
CG18788,CG18788,FBgn0042126,538
CG6860,CG6860,FBgn0032633,539
CG3992,srp,FBgn0003507,540
CG6663,CG6663,FBgn0036969,541
CG31732,yuri,FBgn0045842,542
CG5915,Rab7,FBgn0015795,543
CG14254,CG14254,FBgn0039469,544
CG4832,cnn,FBgn0013765,545
CG14766,CG14766,FBgn0033237,546
CG18672,CG18672,FBgn0040628,547
CG6099,m4,FBgn0002629,548
CG1338,hydra,FBgn0031128,549
CG1544,CG1544,FBgn0039827,550
CG9815,CG9815,FBgn0034861,551
CG9441,Pu,FBgn0003162,552
CG11126,CG11126,FBgn0030265,553
CG32434,loner,FBgn0052434,554
CG4452,CG4452,FBgn0035981,555
CG15641,CG15641,FBgn0030643,556
CG12191,dpr20,FBgn0035170,557
CG6496,Pdf,FBgn0023178,558
CG14368,CG14368,FBgn0038162,559
CG18013,CG18013,FBgn0031599,560
CG17268,Pros28.1A,FBgn0017557,561
CG5461,bun,FBgn0010460,562
CG16723,CG16723,FBgn0039092,563
CG2222,CG2222,FBgn0030196,564
CG6115,CG6115,FBgn0040985,565
CG3217,CkII&agr;-i3,FBgn0025676,566
CG5168,CG5168,FBgn0032246,567
CG17498,mad2,FBgn0035640,568
CG6798,nAcR&bgr;-96A,FBgn0004118,569
CG9446,coro,FBgn0033109,570
CG3263,Pka-R1,FBgn0000275,571
CG5770,CG5770,FBgn0034291,572
CG4383,CG4383,FBgn0034125,573
CG7423,CG7423,FBgn0030982,574
CG14801,CG14801,FBgn0024988,575
CG31033,CG31033,FBgn0039705,576
CG11641,CG11641,FBgn0033288,577
CG14352,CG14352,FBgn0031351,578
null,No Amplicon Gene Matches,,579
CG6989,CG6989,FBgn0038063,580
CG12839,Tsp42En,FBgn0033135,581
CG13663,CG13663,FBgn0039291,582
CG15096,CG15096,FBgn0034394,583
CG17176,ACXA,FBgn0040510,584
CG13163,CG13163,FBgn0033712,585
CG13694,CG13694,FBgn0031219,586
null,-,,587
CG3622,CG3622,FBgn0034778,588
CG32447,CG32447,FBgn0052447,589
CG14577,ORMDL,FBgn0037110,590
CG30377,CG30377,FBgn0050377,591
CG17777,CG17777,FBgn0040900,592
CG14634,CG14634,FBgn0040892,593
CG5591,CG5591,FBgn0034926,594
CG13606,CG13606,FBgn0039161,595
CG16901,sqd,FBgn0003498,596
CG31122,CG31122,FBgn0051122,597
CG12673,olf413,FBgn0037153,598
null,No Amplicon Gene Matches,,599
CG17217,CG17217,FBgn0032419,600
CG3530,CG3530,FBgn0028497,601
CG32041,CG32041,FBgn0052041,602
CG15362,CG15362,FBgn0031378,603
CG17870,14-3-3&zgr;,FBgn0004907,604
CG13081,CG13081,FBgn0032804,605
CG32672,CG32672,FBgn0052672,606
CG32351,CG32351,FBgn0052351,607
CG5104,CG5104,FBgn0037009,608
CG5016,Mst57Db,FBgn0011669,609
CG9611,CG9611,FBgn0028487,610
CG9819,CanA-14F,FBgn0030758,611
CG33154,CG33154,FBgn0053154,612
CG13432,l(2)05510,FBgn0028622,613
CG17358,Taf12,FBgn0011290,614
null,No Amplicon Gene Matches,,615
CG3727,dock,FBgn0010583,616
CG8338,mRpS16,FBgn0033907,617
CG12560,CG12560,FBgn0031974,618
CG12821,CG12821,FBgn0040780,619
CG14559,CG14559,FBgn0040604,620
CG4342,CG4342,FBgn0038791,621
null,No Amplicon Gene Matches,,622
CG3353,CG3353,FBgn0038869,623
CG1361,Anp,FBgn0000094,624
CG8800,CG8800,FBgn0033408,625
CG14362,CG14362,FBgn0038186,626
CG6214,CG6214,FBgn0032456,627
CG6141,RpL9,FBgn0015756,628
CG13826,CG13826,FBgn0040590,629
CG12420,CG12420,FBgn0037797,630
null,-,,631
CG9099,CG9099,FBgn0030802,632
CG13939,Obp50e,FBgn0033931,633
CG32145,ome,FBgn0002997,634
CG31323,CG31323,FBgn0051323,635
CG31000,heph,FBgn0011224,636
CG8996,wal,FBgn0010516,637
CG17065,CG17065,FBgn0031099,638
CG11030,CG11030,FBgn0031736,639
CG9882,Art7,FBgn0034817,640
CG2341,Ccp84Ad,FBgn0004780,641
CG6143,Pep,FBgn0004401,642
CG10089,CG10089,FBgn0036369,643
CG9855,CG9855,FBgn0037242,644
CG9603,CG9603,FBgn0040529,645
CG18672,CG18672,FBgn0040628,646
CG15210,CG15210,FBgn0040850,647
CG18591,CG18591,FBgn0031962,648
null,spotting_soln,null,649
CG4027,Act5C,FBgn0000042,650
null,spotting_soln,null,651
null,Ambion_Spike_3,null,652
null,Ambion_Spike_4,null,653
Scer\FLP1,Scer\FLP1,FBgn0014444,654
T:Ecol\lacZ,T:Ecol\lacZ,FBgn0015311,655
null,Arab_Spike_273,null,656
CG13544,CG13544,FBgn0034826,657
CG14624,CG14624,FBgn0040357,658
CG11664,CG11664,FBgn0040341,659
CG2669,CG2669,FBgn0037316,660
CG5648,Pros&agr;6T,FBgn0032492,661
CG8573,su(Hw),FBgn0003567,662
CG13588,CG13588,FBgn0035038,663
CG13592,CG13592,FBgn0035019,664
Barcode Element,,,665
CG10725,CG10725,FBgn0036362,666
CG6898,Zip3,FBgn0038412,667
CG4008,und,FBgn0025117,668
CG4286,CG4286,FBgn0034601,669
CG7147,kuz,FBgn0015954,670
CG1567,C901,FBgn0021742,671
CG32527,CG32527,FBgn0052527,672
CG2709,CG2709,FBgn0024977,673
CG8983,ERp60,FBgn0033663,674
CG31738,CG31738,FBgn0051738,675
CG6984,CG6984,FBgn0034191,676
CG14269,CG14269,FBgn0029658,677
CG9006,CG9006,FBgn0033637,678
CG14191,CG14191,FBgn0030981,679
CG7214,CG7214,FBgn0031940,680
CG6761,CG6761,FBgn0036031,681
CG15498,CG15498,FBgn0038892,682
CG11518,pygo,FBgn0043900,683
CG18426,ytr,FBgn0021895,684
CG15060,CG15060,FBgn0030903,685
CG9782,CG9782,FBgn0030763,686
CG6225,CG6225,FBgn0038072,687
CG9881,p16-ARC,FBgn0031437,688
CG10924,CG10924,FBgn0034356,689
CG7756,Hsc70-2,FBgn0001217,690
CG4589,CG4589,FBgn0019886,691
CG7276,CG7276,FBgn0036499,692
CG10470,CG10470,FBgn0032746,693
CG8249,CG8249,FBgn0034045,694
CG9894,CG9894,FBgn0031453,695
CG14968,CG14968,FBgn0035431,696
CG4317,Mipp2,FBgn0026060,697
CG6492,Ucp4A,FBgn0030872,698
CG6517,Cp18,FBgn0000357,699
CG32573,CG32573,FBgn0052573,700
CG3440,Pcp,FBgn0003046,701
CG3277,CG3277,FBgn0031518,702
CG14414,CG14414,FBgn0030571,703
CG15918,CG15918,FBgn0034197,704
Barcode Element,,,705
