gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q
maf-S,FBgn0034534,maf-S-PA-47,995,980,647,657,2.70748913156408e-35,4.20786560873451e-32
Ubi-p5E,FBgn0086558,Ubi-p5E-PA-684,6497,6662,5112,5131,3.69042483563943e-35,5.58843871649215e-32
CG8036,FBgn0037607,CG8036-PB-116,118,138,391,381,5.48680467822399e-35,8.1009927671638e-32
Trxr-1,FBgn0020653,Trxr-1-PA-235,42,49,208,204,8.72280805489894e-35,1.2564673124542e-31
DnaJ-1,FBgn0263106,DnaJ-1-PA-546,835,893,1772,1714,1.68702325665919e-34,2.3721957021852e-31
Myb,FBgn0002914,Myb-PA-1801,366,358,196,171,2.54125904105222e-34,3.49027154526656e-31
Ddx1,FBgn0015075,Ddx1-PA-483,27,43,180,178,3.09011537848077e-34,4.14763713687084e-31
e(y)1,FBgn0000617,e(y)1-PA-321,117,123,488,530,3.30717939620548e-34,4.34034223958008e-31
Poc1,FBgn0036354,Poc1-PA-1134,793,876,562,523,1.02326594404579e-33,1.31374000268383e-30
Rack1,FBgn0020618,Rack1-PA-788,17638,18546,14821,14220,1.47928698990069e-33,1.85880278828841e-30
Nat1,FBgn0031020,Nat1-PA-1500,172,187,471,491,1.66359899477683e-33,2.04685061319854e-30
vig,FBgn0024183,vig-PA-39,116,116,365,341,5.6264476550749e-33,6.78136215537578e-30
Muc68E,FBgn0053265,Muc68E-PA-4903,2810,2668,2085,2079,1.20954797655372e-32,1.42866968798619e-29
eIF3-S10,FBgn0037249,eIF3-S10-PA-2675,2532,2830,5100,4691,1.34244111081722e-32,1.55454680632634e-29
su(w[a]),FBgn0003638,su(w[a])-PA-1828,481,509,1117,1005,1.38087672201065e-32,1.56830418170202e-29
Akap200,FBgn0027932,Akap200-PA-835,1313,1381,2709,2427,1.49438899532717e-32,1.66520047709494e-29
Trax,FBgn0038327,Trax-PA-109,1851,1809,1331,1361,1.62372806921486e-32,1.77581726503132e-29
Mlc2,FBgn0002773,Mlc2-PA-546,172,166,59,56,2.18296474169001e-32,2.34402784935871e-29
sesB,FBgn0003360,sesB-PA-165,1726,1843,1299,1328,4.65402065977648e-32,4.90816343080499e-29
boi,FBgn0040388,boi-PA-165,39,46,190,190,5.01749053735359e-32,5.19864835359699e-29
Rrp1,FBgn0004584,Rrp1-PA-1716,672,735,476,425,7.6368014223488e-32,7.77610721381164e-29
CG31728,FBgn0051728,CG31728-PC-1314,478,511,1024,1075,1.17860296078789e-31,1.17976158742731e-28
ft,FBgn0001075,ft-PA-14214,237,276,609,622,1.8258368930285e-31,1.79717125380795e-28
ry,FBgn0003308,ry-PA-3989,51,48,0,0,1.86734976095624e-31,1.80790069151727e-28
Hsp68,FBgn0001230,Hsp68-PA-1806,11,11,102,105,1.094091940791e-30,1.04217551353605e-27
msd5,FBgn0035210,msd5-PA-61,122,145,45,33,1.47638281791229e-30,1.3840034358772e-27
bel,FBgn0263231,bel-PA-2092,727,754,1510,1435,1.73950794470194e-30,1.60518531559699e-27
mri,FBgn0035107,mri-PA-1021,2167,2091,1613,1621,2.63542734677465e-30,2.39450874224335e-27
CG32230,FBgn0052230,CG32230-PA-158,2838,2784,2192,2173,4.70353457416051e-30,4.20880825576927e-27
RpL13,FBgn0011272,RpL13-PA-58,7498,7792,6529,5852,4.7948862270423e-30,4.2265132954726e-27
CG7834,FBgn0039697,CG7834-PA-234,418,419,944,850,1.23483399669312e-29,1.07245332612797e-26
CG3655,FBgn0040397,CG3655-PA-1299,70,77,265,237,1.64092615906335e-29,1.404490102927e-26
CG10576,FBgn0035630,CG10576-PA-972,591,617,1216,1209,1.36215421033403e-28,1.14923004791296e-25
RpL35A,FBgn0037328,RpL35A-PA-450,17524,18361,31368,29800,2.03609987624276e-28,1.69363361255133e-25
CG8036,FBgn0037607,CG8036-PB-399,360,460,1238,1327,4.30228260526551e-28,3.52894730696903e-25
CG5335,FBgn0034365,CG5335-PA-946,1480,1399,1083,1066,4.98701224410521e-28,4.03456122071734e-25
nudC,FBgn0021768,nudC-PA-858,8133,7745,6597,6468,6.84045246974384e-28,5.38644589277509e-25
Prosalpha7,FBgn0023175,Prosalpha7-PA-601,1147,1241,873,871,6.77769052120114e-28,5.38644589277509e-25
Hsp27,FBgn0001226,Hsp27-PA-43,4472,4660,8007,7786,1.63014724344622e-27,1.26675310399272e-24
dnk,FBgn0022338,dnk-PA-381,598,649,390,431,2.96347615899844e-27,2.27294772724844e-24
Amun,FBgn0030328,Amun-PA-444,37,49,201,229,4.43016572061756e-27,3.35431701446451e-24
Sgs3,FBgn0003373,Sgs3-PA-809,60,52,0,5,4.6613317439636e-27,3.48467000170889e-24
CG9170,FBgn0030716,CG9170-PA-3426,48,54,3,3,4.8641747507122e-27,3.59085540534452e-24
CG13298,FBgn0035692,CG13298-PA-294,4557,4595,3888,3569,5.12031394268936e-27,3.73327778799195e-24
CG33695,FBgn0052831,CG33695-PA-135,125,117,349,321,5.77059750811986e-27,4.15609692237247e-24
CG9170,FBgn0030716,CG9170-PA-3494,0,0,66,45,8.92410668061265e-27,6.34987822100749e-24
miple2,FBgn0029002,miple2-PA-421,1234,1220,923,898,1.06233522503598e-26,7.46897544287796e-24
CG14215,FBgn0031052,CG14215-PA-4666,29,38,153,151,1.10606183819076e-26,7.68491765174941e-24
inx3,FBgn0028373,inx3-PA-636,64,68,219,227,1.72560584589785e-26,1.18500965170971e-23
usp,FBgn0003964,usp-PA-891,156,191,648,531,2.05011209653236e-26,1.39167264594262e-23
CG9253,FBgn0032919,CG9253-PA-571,302,320,178,161,2.12948966442155e-26,1.42912955228873e-23
gpp,FBgn0261972,gpp-PD-5827,282,304,623,668,3.22490359602432e-26,2.13995906262926e-23
CG14103,FBgn0036908,CG14103-PA-591,706,671,486,455,4.32177377595812e-26,2.83594795178372e-23
Slu7,FBgn0039626,Slu7-PA-1707,305,282,153,164,7.87891188585325e-26,5.11332723246946e-23
CG40127,FBgn0262116,CG40127-PA-261,1650,1754,1349,1291,1.08160485935748e-25,6.94319780260153e-23
vg,FBgn0003975,vg-PA-1182,536,585,1182,1028,1.28603668242588e-25,8.16674778394708e-23
TfIIA-S,FBgn0013347,TfIIA-S-PA-225,560,554,362,370,1.5276488534353e-25,9.59786021129594e-23
shg,FBgn0003391,shg-PA-4458,43,50,183,174,1.55232371638982e-25,9.65022463605789e-23
tna,FBgn0026160,tna-PA-3105,403,407,879,794,2.02804626686436e-25,1.24762871279662e-22
CG2604,FBgn0037298,CG2604-PA-450,397,424,1312,1131,3.05095507309703e-25,1.85755984233984e-22
Hsc70-3,FBgn0001218,Hsc70-3-PA-1620,4356,4636,7500,7786,3.15191081501996e-25,1.89944437666785e-22
Ef2b,FBgn0000559,Ef2b-PA-1314,4293,4691,8095,7175,4.96153242450356e-25,2.9357517965307e-22
spt4,FBgn0028683,spt4-PA-300,139,128,50,45,4.97096379242558e-25,2.9357517965307e-22
CG1316,FBgn0035526,CG1316-PA-1041,317,375,201,201,6.91867686239059e-25,4.04557641721845e-22
mfrn,FBgn0039561,mfrn-PA-738,140,117,350,329,8.02376280937914e-25,4.64575866663052e-22
Hsp26,FBgn0001225,Hsp26-PA-384,6482,6573,16905,18171,1.28572309832587e-24,7.37206162533292e-22
RpL26,FBgn0036825,RpL26-PA-138,2696,2824,4702,4785,1.58708889509563e-24,9.01252845832288e-22
Ggamma1,FBgn0004921,Ggamma1-PA-95,7273,7276,6035,6213,1.94316174897601e-24,1.09294520543834e-21
TRAM,FBgn0040340,TRAM-PA-552,572,626,1168,1142,2.28995852508129e-24,1.27585255258727e-21
RanBPM,FBgn0262114,RanBPM-PA-2574,87,94,260,268,2.51147164587397e-24,1.38619151833668e-21
Hsp27,FBgn0001226,Hsp27-PA-100,1677,1815,2993,3114,4.9616194671902e-24,2.71317891197517e-21
PGRP-LE,FBgn0030695,PGRP-LE-PA-801,0,0,43,46,1.98427834204309e-23,1.07511477361817e-20
CG8036,FBgn0037607,CG8036-PB-138,196,203,484,437,2.47198505678474e-23,1.3271863043963e-20
mRpS9,FBgn0037529,mRpS9-PA-531,87,100,373,449,5.72180873179287e-23,3.04431153227228e-20
klar,FBgn0001316,klar-PA-5391,30,39,150,135,6.93013916953936e-23,3.65428713459514e-20
CG14135,FBgn0036193,CG14135-PB-547,808,785,612,553,1.01015876959665e-22,5.27946518715391e-20
RpL8,FBgn0261602,RpL8-PA-243,459,473,907,919,1.20975510135981e-22,6.26716813825508e-20
CG31156,FBgn0051156,CG31156-PA-2703,111,131,315,311,1.49591087282213e-22,7.68221776757645e-20
gk,FBgn0020300,gk-PB-507,100,92,267,265,1.9315611442176e-22,9.833977418552e-20
CG2604,FBgn0037298,CG2604-PA-328,76,81,252,212,2.5926330818204e-22,1.30868140637734e-19
CG11590,FBgn0030545,CG11590-PA-387,74,95,245,241,2.71741341645686e-22,1.3600423860094e-19
ImpE3,FBgn0001255,ImpE3-PA-960,2131,2248,1837,1743,3.76574438921391e-22,1.86888514401844e-19
CG14463,FBgn0037535,CG14463-PA-457,482,512,330,339,4.63000482861023e-22,2.27865687640052e-19
RpS11,FBgn0033699,RpS11-PB-352,11296,11666,10083,9802,6.85069130741216e-22,3.34370353085246e-19
Vha14-1,FBgn0262512,Vha14-1-PA-345,417,434,294,261,7.37053388914152e-22,3.56794254446656e-19
RpS15,FBgn0034138,RpS15-PA-255,13499,14444,12014,12238,8.18003514769632e-22,3.92761394920853e-19
fabp,FBgn0037913,fabp-PC-370,1414,1512,2587,2488,9.40980326338146e-22,4.48164646071599e-19
Top3beta,FBgn0026015,Top3beta-PA-2079,231,242,514,514,1.18210928313794e-21,5.58504080348484e-19
gek,FBgn0023081,gek-PA-4887,205,203,108,100,1.20676343181415e-21,5.6562725996889e-19
mRpL17,FBgn0035122,mRpL17-PA-10,48,45,5,4,1.79417739715076e-21,8.34334871818342e-19
qkr58E-1,FBgn0022986,qkr58E-1-PA-892,705,672,487,512,2.11676712490073e-21,9.76656506737402e-19
CG16892,FBgn0030122,CG16892-PA-1171,1379,1445,1144,1109,3.69786062120533e-21,1.69293219044298e-18
CG10565,FBgn0037051,CG10565-PA-629,98,99,262,266,4.92641875610743e-21,2.23803414537071e-18
CG13393,FBgn0032035,CG13393-PA-298,687,797,551,547,9.43788901699634e-21,4.2548309127158e-18
Ance,FBgn0012037,Ance-PA-1728,1464,1454,1216,1131,9.94246094291939e-21,4.44834741187071e-18
mRpL39,FBgn0036462,mRpL39-PA-901,454,428,315,278,1.24570557133598e-20,5.53149470916996e-18
CG18088,FBgn0032082,CG18088-PA-98,133,83,7,14,1.30845518482365e-20,5.76677211233693e-18
Prosalpha5,FBgn0016697,Prosalpha5-PA-687,1117,1113,893,858,1.92414952409389e-20,8.41751278473609e-18
MED27,FBgn0037359,MED27-PA-676,263,271,155,157,2.24463098272439e-20,9.74731004248065e-18
sta,FBgn0003517,sta-PA-402,9796,10640,16536,16421,2.81454242406024e-20,1.2132937699281e-17
CG43444,FBgn0263392,CG43444-PA-7408,14,13,91,78,3.38136796390189e-20,1.44707847255158e-17
Sptr,FBgn0014032,Sptr-PA-757,1926,1834,1606,1501,3.96413438534672e-20,1.68427229158134e-17
CG15012,FBgn0035528,CG15012-PB-192,3749,3966,3230,3378,4.77465889778748e-20,2.01415575132524e-17
Jafrac2,FBgn0040308,Jafrac2-PA-558,128,139,54,60,4.83871641329671e-20,2.02670151727998e-17
cic,FBgn0262582,cic-PA-3078,133,122,333,293,5.20827801114664e-20,2.15098239707901e-17
vig2,FBgn0046214,vig2-PA-39,1856,1997,3241,3233,5.2027726060728e-20,2.15098239707901e-17
ClC-b,FBgn0033755,ClC-b-PA-2389,266,305,165,178,5.27420921735296e-20,2.16308505526688e-17
Cad99C,FBgn0039709,Cad99C-PA-4839,157,164,387,355,5.66229596975492e-20,2.30623362332266e-17
Duox,FBgn0031464,Duox-PB-3765,58,65,190,187,5.71429447334093e-20,2.31147125346965e-17
CG3800,FBgn0034802,CG3800-PA-147,1981,2021,3429,3283,6.51025065777781e-20,2.61552641732682e-17
Argk,FBgn0000116,Argk-PA-618,422,451,885,785,9.79217534802109e-20,3.90747494394209e-17
Mcm7,FBgn0020633,Mcm7-PA-2133,950,968,789,706,1.18990587919704e-19,4.71633969218916e-17
CG15019,FBgn0035541,CG15019-PA-132,403,404,274,266,1.28951429674775e-19,5.07707568915525e-17
rin,FBgn0015778,rin-PA-1875,414,430,860,759,1.45900842024871e-19,5.70636551543366e-17
fbp,FBgn0032820,fbp-PA-855,788,844,654,594,1.67958227801458e-19,6.52584014309111e-17
Tor,FBgn0021796,Tor-PA-7170,331,344,710,626,2.33736628524536e-19,9.02223386104709e-17
Tango4,FBgn0030365,Tango4-PA-1305,264,244,151,148,2.38168877151877e-19,9.13362178365947e-17
CG15525,FBgn0039732,CG15525-PA-258,335,366,227,227,2.56902230856822e-19,9.78847222576915e-17
CG5033,FBgn0028744,CG5033-PA-2185,502,541,370,371,2.65357091623327e-19,1.004580712634e-16
CG14442,FBgn0029893,CG14442-PA-3060,3060,3203,2698,2664,2.80595180310445e-19,1.05550255788371e-16
klar,FBgn0001316,klar-PA-5715,106,108,369,309,3.16786763616524e-19,1.18410080289017e-16
sec13,FBgn0024509,sec13-PA-715,2199,2363,1921,1931,4.91548587731032e-19,1.82577839586285e-16
CtBP,FBgn0020496,CtBP-PA-1068,935,1011,1769,1610,7.42316502760529e-19,2.73998300125196e-16
CG9740,FBgn0037669,CG9740-PA-191,769,815,640,578,9.02133207871684e-19,3.30920391245254e-16
Gyk,FBgn0025592,Gyk-PA-1311,16,16,95,77,1.20112853814611e-18,4.37878081517488e-16
rn,FBgn0259172,rn-PC-1734,534,498,972,933,1.35993356194075e-18,4.92729793258263e-16
mRpS9,FBgn0037529,mRpS9-PA-444,43,27,157,144,1.36931538709453e-18,4.93103830067247e-16
CG31368,FBgn0051368,CG31368-PC-4149,1516,1599,1275,1303,1.55493760714779e-18,5.55616806831355e-16
ND75,FBgn0017566,ND75-PA-1411,92,102,248,250,1.56172559067366e-18,5.55616806831355e-16
RpI1,FBgn0019938,RpI1-PA-4192,144,160,72,75,1.57782991229047e-18,5.57984903952398e-16
ft,FBgn0001075,ft-PA-14760,653,688,1223,1177,1.6144338225596e-18,5.67531146980507e-16
CG8801,FBgn0028473,CG8801-PA-1698,214,225,500,426,1.68355602179005e-18,5.88328115590987e-16
CG8783,FBgn0036397,CG8783-PA-1815,52,48,11,6,1.85293695277138e-18,6.43710297392779e-16
Psc,FBgn0005624,Psc-PA-4419,1030,981,1730,1738,1.92108149691227e-18,6.63480883302015e-16
RFeSP,FBgn0021906,RFeSP-PA-312,543,555,1024,983,1.93333646436684e-18,6.63831307631262e-16
Hsp27,FBgn0001226,Hsp27-PA-279,1106,1174,1948,1944,1.96368401184391e-18,6.70354048390046e-16
Cad87A,FBgn0037963,Cad87A-PA-5802,1537,1503,1253,1268,3.14220302053395e-18,1.06650704590054e-15
Sgs3,FBgn0003373,Sgs3-PA-200,34,25,0,0,3.23544356275442e-18,1.09187900530943e-15
Prosbeta5,FBgn0029134,Prosbeta5-PA-810,1399,1471,1198,1172,3.57164080131039e-18,1.19848842297607e-15
N,FBgn0004647,N-PA-7378,139,131,321,310,3.98552482222569e-18,1.32981426525991e-15
ncd,FBgn0002924,ncd-PA-1693,863,903,669,719,4.26168008329222e-18,1.4139679907813e-15
gish,FBgn0250823,gish-PA-600,314,335,634,635,4.5928887490923e-18,1.5153453840441e-15
RpL5,FBgn0064225,RpL5-PA-224,2598,2644,6069,6424,5.03517648552662e-18,1.65204140490128e-15
Cpr31A,FBgn0053302,Cpr31A-PA-130,9,6,59,64,5.34519392201004e-18,1.74406885439817e-15
CG7492,FBgn0035807,CG7492-PA-1449,276,262,538,547,5.60603779939843e-18,1.8191284634993e-15
Cortactin,FBgn0025865,Cortactin-PA-285,104,132,294,274,5.97904494811643e-18,1.92956522702656e-15
nAcRbeta-64B,FBgn0000038,nAcRbeta-64B-PA-1183,1430,1479,1225,1188,6.56842084987892e-18,2.10824890517472e-15
cdc2rk,FBgn0013435,cdc2rk-PA-1138,109,105,44,43,1.13534341278056e-17,3.62438439308076e-15
unc-45,FBgn0010812,unc-45-PA-2613,456,471,338,324,1.18085637660801e-17,3.74940945643634e-15
olf413,FBgn0037153,olf413-PB-1960,57,63,189,162,1.34627322464343e-17,4.25177562037388e-15
Rox8,FBgn0005649,Rox8-PB-1265,156,191,393,363,1.64648259389282e-17,5.17223239521927e-15
CG6204,FBgn0039165,CG6204-PA-2268,446,499,368,312,1.92710552970592e-17,6.02174594568107e-15
mab-21,FBgn0029003,mab-21-PA-645,127,158,334,315,2.02441176888341e-17,6.29251106561667e-15
mts,FBgn0004177,mts-PA-895,1833,1975,1641,1599,2.64698262083219e-17,8.18458113199514e-15
fax,FBgn0014163,fax-PA-580,22,25,100,100,2.84301803443853e-17,8.74494578530575e-15
CG2604,FBgn0037298,CG2604-PA-357,39,29,159,125,3.01405616509714e-17,9.22301186519725e-15
fs(1)h,FBgn0004656,fs(1)h-PB-4428,61,64,17,16,3.34440697126844e-17,1.01811333458336e-14
CG5033,FBgn0028744,CG5033-PA-2306,206,246,470,458,3.71730028253781e-17,1.12582728249291e-14
crc,FBgn0000370,crc-PA-1033,2356,2336,2153,1901,3.7413354701446e-17,1.12732546018265e-14
CG33641,FBgn0053641,CG33641-PA-535,229,205,112,85,3.82508286223029e-17,1.14670935876952e-14
eIF2B-delta,FBgn0034858,eIF2B-delta-PA-727,43,46,154,133,3.84912330680619e-17,1.1480885063301e-14
kdn,FBgn0261955,kdn-PA-609,87,100,238,233,4.32152648141999e-17,1.28251613537539e-14
sev,FBgn0003366,sev-PA-2098,34,44,168,137,4.66892881751513e-17,1.37868799052404e-14
bif,FBgn0014133,bif-PB-3238,276,264,545,528,4.86176894965152e-17,1.42252992415693e-14
Jafrac1,FBgn0040309,Jafrac1-PA-534,526,560,984,968,4.86557358325204e-17,1.42252992415693e-14
CG43444,FBgn0263392,CG43444-PA-7320,45,41,148,132,5.36095409592929e-17,1.55964151230242e-14
fbl6,FBgn0033609,fbl6-PA-1344,588,646,1124,1063,5.47237532115147e-17,1.58425265547335e-14
Fas3,FBgn0000636,Fas3-PA-537,137,130,321,291,5.91238507591441e-17,1.70328603811392e-14
betaTub56D,FBgn0003887,betaTub56D-PA-1269,191459,203025,178862,181107,6.00015260387296e-17,1.72017967223073e-14
CG5235,FBgn0036565,CG5235-PA-1825,465,461,350,320,6.16509331858531e-17,1.75892792854595e-14
alphaCop,FBgn0025725,alphaCop-PA-2460,168,164,373,351,6.76796919230274e-17,1.92164771422604e-14
VhaM9.7-b,FBgn0028663,VhaM9.7-b-PA-198,393,374,285,249,7.46188258320242e-17,2.10853522296062e-14
kdn,FBgn0261955,kdn-PA-474,159,150,344,338,7.9958455582393e-17,2.24866022370713e-14
tum,FBgn0086356,tum-PA-1636,1221,1337,1060,1064,8.17378973204819e-17,2.28780888149432e-14
usnp,FBgn0034913,usnp-PA-831,2226,2249,1948,1919,8.39041649721137e-17,2.33736423345429e-14
CG31195,FBgn0051195,CG31195-PB-2064,1173,1222,1951,2054,8.5321679954756e-17,2.36569379097088e-14
GstE5,FBgn0063495,GstE5-PA-445,123,119,60,50,9.48631089866859e-17,2.60669445818827e-14
Nipped-A,FBgn0053554,Nipped-A-PA-10476,495,489,381,342,9.48964252955533e-17,2.60669445818827e-14
YT521-B,FBgn0027616,YT521-B-PA-1962,156,155,372,314,1.0426856808142e-16,2.85087643229283e-14
bel,FBgn0263231,bel-PA-1443,53,49,164,146,1.31942067703132e-16,3.59089153659521e-14
pck,FBgn0013720,pck-PA-465,291,339,619,592,1.36233406124738e-16,3.69067545821779e-14
CG6891,FBgn0030955,CG6891-PA-172,1296,1276,2911,3111,1.44951352558567e-16,3.90892099516156e-14
lft,FBgn0032230,lft-PA-459,21,26,102,94,1.45656297769977e-16,3.91007710622695e-14
CG18624,FBgn0029971,CG18624-PA-102,677,698,557,514,1.62993308176484e-16,4.35568271234695e-14
mthl14,FBgn0052476,mthl14-PA-776,226,207,130,128,1.68064421114727e-16,4.45091864672355e-14
RpL19,FBgn0002607,RpL19-PA-562,10969,11057,9897,10059,1.67519804904582e-16,4.45091864672355e-14
CG32702,FBgn0052702,CG32702-PB-10504,5,5,47,53,2.43314415230845e-16,6.41502800656396e-14
CG1463,FBgn0030406,CG1463-PA-904,112,127,50,60,2.61812416049521e-16,6.87205229646783e-14
beta-Spec,FBgn0250788,beta-Spec-PA-5757,190,206,431,391,2.72834245564049e-16,7.12966587368212e-14
Act42A,FBgn0000043,Act42A-PA-975,766,655,404,409,3.03151403202967e-16,7.88701126447614e-14
ERp60,FBgn0033663,ERp60-PA-1175,3452,3473,5630,5369,3.18867593058655e-16,8.25950978546405e-14
Ssrp,FBgn0010278,Ssrp-PA-1281,264,260,544,489,3.24767081624335e-16,8.37558703343667e-14
smid,FBgn0016983,smid-PA-868,138,165,343,321,3.35129037511127e-16,8.60523943362266e-14
Hsp27,FBgn0001226,Hsp27-PA-359,67,68,186,182,3.47537512611169e-16,8.88522528995257e-14
CG8036,FBgn0037607,CG8036-PB-98,25,14,90,85,3.50535613580898e-16,8.90107078223331e-14
l(2)37Cc,FBgn0002031,l(2)37Cc-PA-176,66,79,205,182,3.51171643513218e-16,8.90107078223331e-14
CG14641,FBgn0037220,CG14641-PA-1044,1843,2086,1692,1699,3.72545542614669e-16,9.4024763486056e-14
CG11597,FBgn0036212,CG11597-PA-498,1036,1109,895,873,4.0124917364285e-16,1.00838185944678e-13
Atf6,FBgn0033010,Atf6-PA-676,36,34,3,5,5.18316686645885e-16,1.29706554575986e-13
Tcp-1zeta,FBgn0027329,Tcp-1zeta-PA-1581,96,81,287,247,5.55269554463656e-16,1.38367549989513e-13
eEF1delta,FBgn0032198,eEF1delta-PA-581,3016,2956,2633,2645,5.8399015889443e-16,1.44912986571375e-13
CG31075,FBgn0051075,CG31075-PA-576,77,96,227,207,7.20183128097493e-16,1.77960565603271e-13
dnk,FBgn0022338,dnk-PA-550,1873,2104,1821,1629,7.59747489582513e-16,1.86954863499017e-13
CSN5,FBgn0027053,CSN5-PA-789,971,1027,823,819,7.69621776686956e-16,1.88598850155926e-13
Ufd1-like,FBgn0036136,Ufd1-like-PA-549,688,719,560,551,9.58055259401953e-16,2.33805072354382e-13
CG16817,FBgn0037728,CG16817-PA-381,824,811,657,661,1.09556931212774e-15,2.65212087488308e-13
Hsp67Ba,FBgn0001227,Hsp67Ba-PA-390,405,378,731,711,1.09573215054941e-15,2.65212087488308e-13
rump,FBgn0260010,rump-PA-1180,6169,6429,9750,9889,1.18397446242761e-15,2.85400668579795e-13
Sap-r,FBgn0000416,Sap-r-PA-1776,90,80,219,209,1.20974287714665e-15,2.90426808286696e-13
CG12947,FBgn0037753,CG12947-PC-945,501,557,968,905,1.36219975636288e-15,3.25703616239995e-13
CG18619,FBgn0032202,CG18619-PA-126,308,343,241,206,1.48805653618259e-15,3.54361463362384e-13
RpL10,FBgn0024733,RpL10-PC-623,21734,23030,20616,20553,1.67093740125693e-15,3.96314140736674e-13
Gp150,FBgn0013272,Gp150-PA-3012,432,437,794,778,1.73121847457405e-15,4.08969202685577e-13
CG33230,FBgn0053230,CG33230-PA-948,83,65,18,24,1.93738027569986e-15,4.55847825985187e-13
Rpn9,FBgn0028691,Rpn9-PA-1101,966,932,797,765,1.97164456850852e-15,4.62068987805462e-13
CG12299,FBgn0032295,CG12299-PA-133,2,1,33,42,2.41533493189402e-15,5.63813637975482e-13
